KIDEN	Numéro de la plaque	Type de rayonnement	Dose de rayonnement	Filtre de protection	Poids	Couleur	Ternissement	Craquelure	Epaississement	Rides	Total du score aspect	Sèchage	Taux de Chromo-A	Réplique à T4	Taux de Chromo-B	Taux de Chromo-C	Surface rigidité	Surface concavité	Surface diamétralité	Score surface total	Elasticité interne	Cohérence interne	Coloration interne	Gonflement interne	Score total interne	Total Surface+Interne	Périodes	Type de rayonnement	Type de rayonnement * dose	Groupes	Filtre * Dose	Type de rayonnement * Périodes	Dose de rayonnement * Périodes	Filtre de protection * Périodes	Type de rayonnement * dose * Périodes	Groupes * Périodes
 017	39.00	Rayon V100	Dose 1/2	Non protégé	22.50	1.00	1.00	1.00	1.00	1.00	5.00	8.70	0.80														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 018	52.00	Rayon V100	Dose 1/2	Non protégé	28.00	1.00	1.00	1.00	1.00	1.00	5.00	4.90	0.60														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V100 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 019	32.00	Rayon V250	Dose 1/2	Non protégé	18.50	1.00	1.00	1.00	1.00	1.00	5.00	11.80	0.70														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 020	41.00	Rayon V250	Dose 1/2	Non protégé	22.00	1.00	1.00	1.00	1.00	1.00	5.00	9.10	0.60														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 021	51.00	Rayon V250	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	1.00	1.00	5.00	5.00	0.60														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 022	59.00	Rayon V250	Dose 1/2	Non protégé	23.00	1.00	1.00	1.00	1.00	1.00	5.00	6.00	0.70														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 023	60.00	Rayon V250	Dose 1/2	Non protégé	24.50	1.00	1.00	1.00	1.00	1.00	5.00	5.60	0.60														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 024	68.00	Rayon V250	Dose 1/2	Non protégé	25.00	1.00	1.00	1.00	1.00	1.00	5.00	12.20	0.70														Temps T0	Rayon V	Rayon V 1/2	V. 1/2 non protégé	Non traité 1/2 Med	V250 * T0	D1/2 * T0	Non  * T0	V1/2 * T0	V1/2np * T0
 025	10.00	Rayon V100	Dose 1/2	Filtre A	22.00	1.00	1.00	1.00	1.00	1.00	5.00	11.30	0.70														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 026	17.00	Rayon V100	Dose 1/2	Filtre A	21.00	1.00	1.00	1.00	1.00	1.00	5.00	10.40	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 027	18.00	Rayon V100	Dose 1/2	Filtre A	22.00	1.00	1.00	1.00	1.00	1.00	5.00	10.50	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 028	22.00	Rayon V100	Dose 1/2	Filtre A	23.50	1.00	1.00	1.00	1.00	1.00	5.00	6.30	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 029	37.00	Rayon V100	Dose 1/2	Filtre A	22.00	1.00	1.00	1.00	1.00	1.00	5.00	4.50	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 030	66.00	Rayon V100	Dose 1/2	Filtre A	25.00	1.00	1.00	1.00	1.00	1.00	5.00	16.00	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V100 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 031	7.00	Rayon V250	Dose 1/2	Filtre A	23.00	1.00	1.00	1.00	1.00	1.00	5.00	9.90	0.80														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V250 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 032	11.00	Rayon V250	Dose 1/2	Filtre A	23.50	1.00	1.00	1.00	1.00	1.00	5.00	5.20	0.70														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V250 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 033	28.00	Rayon V250	Dose 1/2	Filtre A	19.00	1.00	1.00	1.00	1.00	1.00	5.00	6.00	0.70														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V250 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 034	55.00	Rayon V250	Dose 1/2	Filtre A	21.00	1.00	1.00	1.00	1.00	1.00	5.00	8.20	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V250 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 035	71.00	Rayon V250	Dose 1/2	Filtre A	23.00	1.00	1.00	1.00	1.00	1.00	5.00	16.20	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V250 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 036	72.00	Rayon V250	Dose 1/2	Filtre A	24.00	1.00	1.00	1.00	1.00	1.00	5.00	15.30	0.80														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filA	Filtre A 1/2 Med	V250 * T0	D1/2 * T0	fA * T0	V1/2 * T0	V1/2A * T0
 037	16.00	Rayon V100	Dose 1/2	Filtre B	24.00	1.00	1.00	1.00	1.00	1.00	5.00	3.90	0.80														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V100 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 038	21.00	Rayon V100	Dose 1/2	Filtre B	23.00	1.00	1.00	1.00	1.00	1.00	5.00	8.00	0.70														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V100 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 039	31.00	Rayon V100	Dose 1/2	Filtre B	23.00	1.00	1.00	1.00	1.00	1.00	5.00	6.20	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V100 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 040	36.00	Rayon V100	Dose 1/2	Filtre B	19.00	1.00	1.00	1.00	1.00	1.00	5.00	5.90	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V100 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 041	42.00	Rayon V100	Dose 1/2	Filtre B	22.00	1.00	1.00	1.00	1.00	1.00	5.00	6.30	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V100 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 042	43.00	Rayon V100	Dose 1/2	Filtre B	23.00	1.00	1.00	1.00	1.00	1.00	5.00	6.10	1.00														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V100 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 043	6.00	Rayon V250	Dose 1/2	Filtre B	21.00	1.00	1.00	1.00	1.00	1.00	5.00	10.00	0.50														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V250 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 044	9.00	Rayon V250	Dose 1/2	Filtre B	17.00	1.00	1.00	1.00	1.00	1.00	5.00	16.80	0.80														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V250 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 045	15.00	Rayon V250	Dose 1/2	Filtre B	24.00	1.00	1.00	1.00	1.00	1.00	5.00	7.80	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V250 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 046	27.00	Rayon V250	Dose 1/2	Filtre B	20.00	1.00	1.00	1.00	1.00	1.00	5.00	7.00	0.50														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V250 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 047	56.00	Rayon V250	Dose 1/2	Filtre B	25.00	1.00	1.00	1.00	1.00	1.00	5.00	5.20	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V250 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 048	69.00	Rayon V250	Dose 1/2	Filtre B	25.00	1.00	1.00	1.00	1.00	1.00	5.00	11.80	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filB	Filtre B 1/2 Med	V250 * T0	D1/2 * T0	fB * T0	V1/2 * T0	V1/2B * T0
 049	5.00	Rayon V100	Dose 1/2	Filtre C	22.00	1.00	1.00	1.00	1.00	1.00	5.00	8.40	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V100 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 050	20.00	Rayon V100	Dose 1/2	Filtre C	23.00	1.00	1.00	1.00	1.00	1.00	5.00	12.00	0.80														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V100 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 051	45.00	Rayon V100	Dose 1/2	Filtre C	25.00	1.00	1.00	1.00	1.00	1.00	5.00	7.30	0.80														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V100 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 052	50.00	Rayon V100	Dose 1/2	Filtre C	25.00	1.00	1.00	1.00	1.00	1.00	5.00	7.30	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V100 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 053	53.00	Rayon V100	Dose 1/2	Filtre C	22.00	1.00	1.00	1.00	1.00	1.00	5.00	9.40	0.70														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V100 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 054	58.00	Rayon V100	Dose 1/2	Filtre C	24.50	1.00	1.00	1.00	1.00	1.00	5.00	9.20	0.50														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V100 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 055	13.00	Rayon V250	Dose 1/2	Filtre C	23.00	1.00	1.00	1.00	1.00	1.00	5.00	10.00	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 056	24.00	Rayon V250	Dose 1/2	Filtre C	22.00	1.00	1.00	1.00	1.00	1.00	5.00	7.80	0.70														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 057	25.00	Rayon V250	Dose 1/2	Filtre C	21.00	1.00	1.00	1.00	1.00	1.00	5.00	10.70	0.70														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 058	34.00	Rayon V250	Dose 1/2	Filtre C	18.00	1.00	1.00	1.00	1.00	1.00	5.00	6.40	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 059	67.00	Rayon V250	Dose 1/2	Filtre C	23.00	1.00	1.00	1.00	1.00	1.00	5.00	9.00	0.60														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 060	70.00	Rayon V250	Dose 1/2	Filtre C	22.00	1.00	1.00	1.00	1.00	1.00	5.00	7.80	0.70														Temps T0	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T0	D1/2 * T0	fC * T0	V1/2 * T0	V1/2C * T0
 061	1.00	Rayon V100	Dose 2	Filtre A	25.00	1.00	1.00	1.00	1.00	1.00	5.00	5.50	0.60														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 062	2.00	Rayon V100	Dose 2	Filtre A	27.00	1.00	1.00	1.00	1.00	1.00	5.00	7.30	0.70														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 063	12.00	Rayon V100	Dose 2	Filtre A	24.50	1.00	1.00	1.00	1.00	1.00	5.00	11.10	0.60														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 064	14.00	Rayon V100	Dose 2	Filtre A	19.00	1.00	1.00	1.00	1.00	1.00	5.00	6.20	0.80														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 065	40.00	Rayon V100	Dose 2	Filtre A	16.00	1.00	1.00	1.00	1.00	1.00	5.00	3.70	0.80														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 066	62.00	Rayon V100	Dose 2	Filtre A	23.50	1.00	1.00	1.00	1.00	1.00	5.00	12.80	0.60														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 067	29.00	Rayon V250	Dose 2	Filtre A	22.00	1.00	1.00	1.00	1.00	1.00	5.00	7.60	0.70														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 068	35.00	Rayon V250	Dose 2	Filtre A	24.00	1.00	1.00	1.00	1.00	1.00	5.00	8.40	0.70														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 069	46.00	Rayon V250	Dose 2	Filtre A	22.00	1.00	1.00	1.00	1.00	1.00	5.00	7.40	0.80														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 070	47.00	Rayon V250	Dose 2	Filtre A	17.00	1.00	1.00	1.00	1.00	1.00	5.00	9.50	0.80														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 071	48.00	Rayon V250	Dose 2	Filtre A	19.00	1.00	1.00	1.00	1.00	1.00	5.00	6.50	0.80														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 072	64.00	Rayon V250	Dose 2	Filtre A	24.00	1.00	1.00	1.00	1.00	1.00	5.00	11.70	0.60														Temps T0	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T0	D2 * T0	fA * T0	V2 * T0	V2A * T0
 073	105.00	Rayon W80	Dose 1/2	Non protégé	23.00	1.00	1.00	1.00	1.00	1.00	5.00	9.10	0.80														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 074	110.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	1.00	1.00	5.00	12.00	0.70														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 075	123.00	Rayon W80	Dose 1/2	Non protégé	23.00	1.00	1.00	1.00	1.00	1.00	5.00	19.90	0.60														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 076	126.00	Rayon W80	Dose 1/2	Non protégé	19.00	1.00	1.00	1.00	1.00	1.00	5.00	8.20	0.70														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 077	129.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	1.00	1.00	5.00	10.40	0.80														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 078	130.00	Rayon W80	Dose 1/2	Non protégé	20.00	1.00	1.00	1.00	1.00	1.00	5.00	11.50	0.60														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 079	131.00	Rayon W80	Dose 1/2	Non protégé	23.00	1.00	1.00	1.00	1.00	1.00	5.00	14.30	0.60														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 080	132.00	Rayon W80	Dose 1/2	Non protégé	23.00	1.00	1.00	1.00	1.00	1.00	5.00	10.20	0.40														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 081	133.00	Rayon W80	Dose 1/2	Non protégé	25.00	1.00	1.00	1.00	1.00	1.00	5.00	8.50	0.70														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 082	136.00	Rayon W80	Dose 1/2	Non protégé	22.00	1.00	1.00	1.00	1.00	1.00	5.00	12.60	0.60														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 083	139.00	Rayon W80	Dose 1/2	Non protégé	25.00	1.00	1.00	1.00	1.00	1.00	5.00	13.40	0.60														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 084	140.00	Rayon W80	Dose 1/2	Non protégé	22.00	1.00	1.00	1.00	1.00	1.00	5.00	6.30	0.50														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 085	148.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	1.00	1.00	5.00	14.00	0.60														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 086	161.00	Rayon W80	Dose 1/2	Non protégé	21.00	1.00	1.00	1.00	1.00	1.00	5.00	16.50	0.60														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 087	169.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	1.00	1.00	5.00	13.20	0.60														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 088	174.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	1.00	1.00	5.00	14.00	0.50														Temps T0	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T0	D1/2 * T0	Non  * T0	W1/2 * T0	W1/2np * T0
 089	111.00	Rayon W80	Dose 1/2	Filtre A	24.00	1.00	1.00	1.00	1.00	1.00	5.00	15.00	0.60														Temps T0	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T0	D1/2 * T0	fA * T0	W1/2 * T0	W1/2A * T0
 090	113.00	Rayon W80	Dose 1/2	Filtre A	20.00	1.00	1.00	1.00	1.00	1.00	5.00	9.10	0.70														Temps T0	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T0	D1/2 * T0	fA * T0	W1/2 * T0	W1/2A * T0
 091	124.00	Rayon W80	Dose 1/2	Filtre A	22.00	1.00	1.00	1.00	1.00	1.00	5.00	10.00	0.80														Temps T0	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T0	D1/2 * T0	fA * T0	W1/2 * T0	W1/2A * T0
